104653-34-1	F10;F2;F7
104696-16-4	PARG
104713-70-4	ABCC2;ADK;APOE;BCL2L1;C3;CASP8;CFH;CHST1;CXCL12;CXCL14;CXCL6;CXCL8;EIF1AX;EIF4E;MX1;NAT8;OAS2;PHKB;PLA2G4A;SDHB;SOAT1;SOD2;TRIM22;YWHAZ;ZFX
104713-75-9	ABCB1;CYP2B6;CYP2C19;CYP2C9;CYP2D6;CYP2J2;CYP3A4
10476-53-6	CYP2D19;CYP2D6
10476-85-4	ALPP
104777-68-6	AKT1;COL1A1;COL3A1;GSK3B;HDAC2;MYH6;MYH7;NPPA;NPPB
104807-46-7	CHRM1;CHRM2;CHRM3;CHRM4;CHRM5;MAPK1;MAPK3;NFKB1;NOS1;NOS2;ODC1;RELA;SAT1;TP53
104809-16-7	EIF4E
104821-25-2	EPO;HPH1;SOD2
10485-66-2	STS
10485-70-8	ANCE;AQP3B;CHEK1;CYT-B5;DPEP1;MAN2A1_1;MCM8;MFAS;PISD;PKA-R2;SC5D;TREH;TXNDC17
10485-94-6	OAT
104970-08-3	ADRB1;ADRB2
104987-36-2	AKT1;BAX;BCL2;CASP3;CASP9;NFKBIB;PARP1;RELA;TNF;TP53
105-08-8	VIT-6
105-53-3	CBR3
105-67-9	TRPA1;TRPV3
105-76-0	CASP3;PARP1;SPTAN1
105-87-3	BAX;BCL2;GOBP2;MAOA
105-99-7	AR
105026-61-7	INS1
105102-21-4	TNF
105218-03-9	TBXA2R
105219-56-5	IL1B;MYB;PAFAH1B1;PTAFR;TNF
10537-47-0	MAPK1;MAPK3;MAPK8;MAPK9;MMP13;PTK2B;RELA;S100A4
10540-29-1	ESR1;ESR2;PGR;CCND1;BCL2;MAPK1;MAPK3;CYP2D6;CD36;EGF;TNF;TFF1;IL6;JUN;CYP3A4;TP53;AKT1;NCOR2;MYC;BRCA1;EGFR;CDKN1A;TGFB1;SOD2;CASP3
105450-73-5	PLAT
10549-76-5	SLC22A1;SLC47A1
105565-56-8	DRD1;DRD2;HTR1A;SIGMAR1
105595-17-3	PTGDR
105596-42-7	HPRT1
105596-43-8	HPRT1
105618-26-6	AIF1;ATF6;BAX;BCL2;CASP3;DDIT3;EGR1;EIF2AK3;ERN1;HSPA5;LHB;MAPK1;MAPK3;OPRK1;PDYN;TAC1;TH
105637-50-1	AKT3;BAD;BAX;BCL2;BCL2L1;CASP3;CSF2;FADD;FGF1;HOMER1;ITGB1;MYL9;MYLK;MYLK2;ROCK2;RPS6KA5;RPS6KB1;TRPC6;TRPC7
105644-04-0	GSTA4;GSTP1
